time,open,high,low,close,volume
2025-09-01 00:00:00,2.8085,2.8114,2.8034,2.8114,1430345.1
2025-09-01 00:15:00,2.8115,2.8139,2.8082,2.8116,1834954.3
2025-09-01 00:30:00,2.8116,2.8176,2.8105,2.8176,707683.8
2025-09-01 00:45:00,2.8176,2.8178,2.8101,2.8119,422354.5
2025-09-01 01:00:00,2.8121,2.8131,2.8048,2.8106,2087582.3
2025-09-01 01:15:00,2.8104,2.8178,2.8104,2.815,1672112.5
2025-09-01 01:30:00,2.8151,2.8156,2.8013,2.802,1736824.9
2025-09-01 01:45:00,2.8022,2.8057,2.7992,2.8011,1819342.9
2025-09-01 02:00:00,2.801,2.8011,2.7901,2.7934,2502076.4
2025-09-01 02:15:00,2.7934,2.7934,2.783,2.7873,3595365.5
2025-09-01 02:30:00,2.7873,2.7877,2.7727,2.7744,4952346.6
2025-09-01 02:45:00,2.7745,2.7808,2.7708,2.7763,3032540.0
2025-09-01 03:00:00,2.776,2.7782,2.7551,2.7629,4944742.4
2025-09-01 03:15:00,2.7628,2.768,2.7376,2.7518,8818270.2
2025-09-01 03:30:00,2.7519,2.7638,2.7371,2.7601,10611693.6
2025-09-01 03:45:00,2.7601,2.7695,2.7545,2.7632,8345872.5
2025-09-01 04:00:00,2.7631,2.7721,2.7555,2.7622,5269649.5
2025-09-01 04:15:00,2.762,2.769,2.755,2.7683,5042764.6
2025-09-01 04:30:00,2.7684,2.7759,2.7646,2.7754,7893750.2
2025-09-01 04:45:00,2.7754,2.7803,2.7591,2.7657,4738935.7
2025-09-01 05:00:00,2.7657,2.7679,2.75,2.7526,5510277.1
2025-09-01 05:15:00,2.7527,2.7571,2.7368,2.7489,5295476.4
2025-09-01 05:30:00,2.7487,2.7496,2.737,2.7409,5184701.6
2025-09-01 05:45:00,2.7409,2.7439,2.7292,2.7342,7067688.7
2025-09-01 06:00:00,2.7344,2.7419,2.7261,2.7313,4689930.0
2025-09-01 06:15:00,2.7314,2.7374,2.7274,2.7351,4596099.7
2025-09-01 06:30:00,2.735,2.745,2.7316,2.7438,3208563.4
2025-09-01 06:45:00,2.7437,2.7471,2.7363,2.7427,2946929.5
2025-09-01 07:00:00,2.7425,2.7479,2.7355,2.745,2757161.4
2025-09-01 07:15:00,2.7451,2.7462,2.7333,2.7375,3230580.0
2025-09-01 07:30:00,2.7374,2.7378,2.7214,2.7219,4335879.2
2025-09-01 07:45:00,2.7219,2.7231,2.7115,2.7194,5453936.0
2025-09-01 08:00:00,2.7194,2.7253,2.7026,2.7122,6939835.2
2025-09-01 08:15:00,2.7121,2.7229,2.7013,2.7228,4411799.6
2025-09-01 08:30:00,2.7229,2.7368,2.7204,2.7358,3091187.0
2025-09-01 08:45:00,2.7358,2.7385,2.729,2.7338,2173657.4
2025-09-01 09:00:00,2.7337,2.7355,2.7192,2.7259,3261183.7
2025-09-01 09:15:00,2.7259,2.738,2.7215,2.7313,4746804.5
2025-09-01 09:30:00,2.7313,2.7402,2.7292,2.7398,2313843.3
2025-09-01 09:45:00,2.7398,2.7412,2.7356,2.737,2139419.4
2025-09-01 10:00:00,2.737,2.743,2.7264,2.7278,4181109.8
2025-09-01 10:15:00,2.7281,2.7518,2.7266,2.7475,4207247.6
2025-09-01 10:30:00,2.7474,2.7654,2.7452,2.754,4616483.2
2025-09-01 10:45:00,2.754,2.7951,2.754,2.7951,6897618.1
2025-09-01 11:00:00,2.7945,2.8197,2.7945,2.8025,10795986.8
2025-09-01 11:15:00,2.8026,2.809,2.7952,2.7958,6817956.8
2025-09-01 11:30:00,2.7957,2.8172,2.7956,2.8163,4506115.5
2025-09-01 11:45:00,2.8164,2.8278,2.8116,2.8258,4797951.9
2025-09-01 12:00:00,2.8259,2.8978,2.8259,2.8311,8210943.1
2025-09-01 12:15:00,2.8311,2.8313,2.8222,2.8238,2595946.2
2025-09-01 12:30:00,2.8241,2.8271,2.8161,2.8229,2723718.4
2025-09-01 12:45:00,2.8231,2.8236,2.8086,2.8087,2512886.0
2025-09-01 13:00:00,2.8088,2.8161,2.8033,2.8151,2231403.1
2025-09-01 13:15:00,2.8152,2.8166,2.8009,2.8027,2086385.8
2025-09-01 13:30:00,2.803,2.8033,2.782,2.7867,4316390.1
2025-09-01 13:45:00,2.7867,2.7934,2.7771,2.7924,2275579.4
2025-09-01 14:00:00,2.7922,2.8006,2.7879,2.7892,2273267.3
2025-09-01 14:15:00,2.7891,2.7954,2.7802,2.7838,2302441.7
2025-09-01 14:30:00,2.7838,2.7844,2.7671,2.7678,4127624.7
2025-09-01 14:45:00,2.7681,2.776,2.7671,2.77,2472142.5
2025-09-01 15:00:00,2.7699,2.7786,2.7642,2.7732,3225682.3
2025-09-01 15:15:00,2.7733,2.7756,2.7612,2.7722,2615997.1
2025-09-01 15:30:00,2.772,2.7811,2.7687,2.7701,2637587.8
2025-09-01 15:45:00,2.77,2.7778,2.7673,2.7718,2807436.3
2025-09-01 16:00:00,2.772,2.7747,2.7643,2.7674,3708347.5
2025-09-01 16:15:00,2.7674,2.7785,2.7577,2.7765,4795021.5
2025-09-01 16:30:00,2.7765,2.7777,2.7656,2.7663,4718986.0
2025-09-01 16:45:00,2.7663,2.7703,2.7545,2.7597,5762096.8
2025-09-01 17:00:00,2.7596,2.7737,2.7582,2.771,4171226.6
2025-09-01 17:15:00,2.7709,2.7744,2.7628,2.7675,3882568.0
2025-09-01 17:30:00,2.7677,2.7704,2.7514,2.7647,4764811.5
2025-09-01 17:45:00,2.7646,2.7745,2.7558,2.7706,3814804.9
2025-09-01 18:00:00,2.7704,2.78,2.7613,2.7658,4324696.6
2025-09-01 18:15:00,2.7657,2.7689,2.7544,2.7602,4390371.0
2025-09-01 18:30:00,2.7603,2.7683,2.7546,2.7645,3321179.2
2025-09-01 18:45:00,2.7647,2.7706,2.752,2.7629,5400398.8
2025-09-01 19:00:00,2.7627,2.769,2.7534,2.7622,5069564.1
2025-09-01 19:15:00,2.7621,2.7662,2.7532,2.7607,4719089.3
2025-09-01 19:30:00,2.7608,2.7611,2.7437,2.7504,6942542.2
2025-09-01 19:45:00,2.7507,2.7577,2.7439,2.7471,4048150.8
2025-09-01 20:00:00,2.7471,2.7489,2.7276,2.7372,7105574.7
2025-09-01 20:15:00,2.7369,2.7419,2.7223,2.7302,5706014.7
2025-09-01 20:30:00,2.7301,2.7315,2.7211,2.7272,4476739.5
2025-09-01 20:45:00,2.7272,2.731,2.7203,2.7271,2434467.5
2025-09-01 21:00:00,2.7271,2.736,2.7241,2.7344,3119650.1
2025-09-01 21:15:00,2.7342,2.748,2.7324,2.7445,2741743.0
2025-09-01 21:30:00,2.7445,2.753,2.7412,2.7516,2104641.6
2025-09-01 21:45:00,2.7519,2.7583,2.7509,2.7562,2795901.9
2025-09-01 22:00:00,2.7562,2.7669,2.7527,2.7651,2632478.5
2025-09-01 22:15:00,2.7651,2.7674,2.7588,2.759,2538378.6
2025-09-01 22:30:00,2.7588,2.7724,2.7584,2.7713,2605121.0
2025-09-01 22:45:00,2.7712,2.7753,2.7671,2.7739,2184354.8
2025-09-01 23:00:00,2.7738,2.7746,2.7656,2.7708,2611645.0
2025-09-01 23:15:00,2.7708,2.7762,2.7669,2.7729,2655503.5
2025-09-01 23:30:00,2.7728,2.7751,2.7416,2.7419,9671179.8
2025-09-01 23:45:00,2.7415,2.7654,2.7354,2.762,16564652.4
2025-09-02 00:00:00,2.762,2.7648,2.7428,2.745,9344272.2
2025-09-02 00:15:00,2.7451,2.7483,2.7283,2.7317,4270353.4
2025-09-02 00:30:00,2.7315,2.732,2.6965,2.7131,3627732.6
2025-09-02 00:45:00,2.7129,2.7299,2.7116,2.728,1090328.7
2025-09-02 01:00:00,2.7278,2.7299,2.7173,2.7267,4273795.8
2025-09-02 01:15:00,2.7266,2.738,2.7191,2.721,2894264.5
2025-09-02 01:30:00,2.7213,2.7322,2.7192,2.7211,2548212.7
2025-09-02 01:45:00,2.7209,2.7481,2.72,2.744,3756163.1
2025-09-02 02:00:00,2.7438,2.7534,2.7422,2.7477,4734843.7
2025-09-02 02:15:00,2.7476,2.7479,2.7405,2.7457,2524619.7
2025-09-02 02:30:00,2.7457,2.7502,2.7354,2.7501,2636758.1
2025-09-02 02:45:00,2.7499,2.762,2.7485,2.7591,3461018.9
2025-09-02 03:00:00,2.7592,2.7666,2.7565,2.761,3265511.6
2025-09-02 03:15:00,2.7612,2.768,2.7564,2.7564,2440744.1
2025-09-02 03:30:00,2.7563,2.7646,2.7537,2.7566,2177900.5
2025-09-02 03:45:00,2.7566,2.7667,2.7547,2.7602,2179056.3
2025-09-02 04:00:00,2.7602,2.7669,2.7559,2.7583,2673093.7
2025-09-02 04:15:00,2.7584,2.7609,2.7494,2.7535,3898537.0
2025-09-02 04:30:00,2.7534,2.7744,2.7482,2.7715,3965665.8
2025-09-02 04:45:00,2.7716,2.7773,2.7647,2.7655,4439759.3
2025-09-02 05:00:00,2.7654,2.7732,2.7627,2.7659,2718109.8
2025-09-02 05:15:00,2.7655,2.7748,2.7579,2.7727,3241952.6
2025-09-02 05:30:00,2.7727,2.7815,2.7696,2.7765,3283182.6
2025-09-02 05:45:00,2.7767,2.7899,2.7744,2.7887,4171462.4
2025-09-02 06:00:00,2.7885,2.7968,2.7833,2.7942,5761435.4
2025-09-02 06:15:00,2.7943,2.8015,2.7922,2.7946,4217478.4
2025-09-02 06:30:00,2.7947,2.8007,2.7904,2.7981,2988673.5
2025-09-02 06:45:00,2.7981,2.8009,2.7959,2.798,2297132.0
2025-09-02 07:00:00,2.7981,2.7993,2.7913,2.7948,2467358.6
2025-09-02 07:15:00,2.7947,2.8027,2.7927,2.8003,2988375.6
2025-09-02 07:30:00,2.8003,2.806,2.7992,2.8042,3818018.9
2025-09-02 07:45:00,2.8042,2.8056,2.7971,2.8033,2882445.4
2025-09-02 08:00:00,2.8035,2.8063,2.7975,2.8031,4040188.0
2025-09-02 08:15:00,2.8032,2.8075,2.7996,2.8027,2951598.3
2025-09-02 08:30:00,2.8028,2.8123,2.8014,2.8095,2905395.6
2025-09-02 08:45:00,2.8096,2.8164,2.8092,2.8109,3048714.4
2025-09-02 09:00:00,2.8108,2.8153,2.8053,2.8071,3640308.8
2025-09-02 09:15:00,2.807,2.8094,2.8011,2.8042,2336398.8
2025-09-02 09:30:00,2.8043,2.8093,2.8007,2.8075,2781131.2
2025-09-02 09:45:00,2.8074,2.8086,2.8008,2.8027,2264828.7
2025-09-02 10:00:00,2.8029,2.8067,2.7965,2.7991,3443353.0
2025-09-02 10:15:00,2.7989,2.8026,2.796,2.8,2823066.0
2025-09-02 10:30:00,2.7999,2.8033,2.7899,2.7919,2989032.0
2025-09-02 10:45:00,2.7916,2.7969,2.7859,2.7943,4884463.7
2025-09-02 11:00:00,2.7944,2.8066,2.7939,2.8017,4126364.3
2025-09-02 11:15:00,2.8019,2.8336,2.8015,2.8163,8138168.5
2025-09-02 11:30:00,2.8162,2.8173,2.8063,2.8138,6381710.3
2025-09-02 11:45:00,2.8136,2.8162,2.8061,2.8063,4329907.5
2025-09-02 12:00:00,2.8063,2.8168,2.8037,2.8152,3504693.4
2025-09-02 12:15:00,2.8152,2.8231,2.813,2.8134,4432943.9
2025-09-02 12:30:00,2.8134,2.8136,2.8082,2.81,2864676.7
2025-09-02 12:45:00,2.81,2.8109,2.8061,2.8106,2247494.5
2025-09-02 13:00:00,2.8106,2.8131,2.8047,2.8124,2754651.2
2025-09-02 13:15:00,2.8126,2.8133,2.8061,2.8069,2470780.3
2025-09-02 13:30:00,2.8067,2.8124,2.804,2.8098,2866553.8
2025-09-02 13:45:00,2.8097,2.813,2.8079,2.8127,1774472.9
2025-09-02 14:00:00,2.8125,2.8135,2.8014,2.8035,1999875.7
2025-09-02 14:15:00,2.8034,2.8062,2.7995,2.8013,2202009.5
2025-09-02 14:30:00,2.8014,2.8085,2.8011,2.806,2002207.7
2025-09-02 14:45:00,2.8061,2.8076,2.7955,2.7993,3137039.0
2025-09-02 15:00:00,2.7993,2.8033,2.7915,2.7925,3675578.9
2025-09-02 15:15:00,2.7926,2.8003,2.7895,2.7987,3734219.2
2025-09-02 15:30:00,2.7986,2.802,2.7793,2.7816,5964550.8
2025-09-02 15:45:00,2.7816,2.782,2.7622,2.7695,10761396.9
2025-09-02 16:00:00,2.7697,2.7852,2.7677,2.7833,5999544.3
2025-09-02 16:15:00,2.7833,2.7861,2.7753,2.7818,5656450.8
2025-09-02 16:30:00,2.7818,2.8101,2.7706,2.8078,18376482.7
2025-09-02 16:45:00,2.8073,2.8335,2.8047,2.8287,11441079.4
2025-09-02 17:00:00,2.8289,2.8405,2.8103,2.8217,13775374.1
2025-09-02 17:15:00,2.8217,2.8382,2.8109,2.8366,11027274.7
2025-09-02 17:30:00,2.8365,2.8465,2.8306,2.8366,11019408.7
2025-09-02 17:45:00,2.8367,2.8406,2.8273,2.838,8891440.1
2025-09-02 18:00:00,2.8379,2.8406,2.8219,2.8325,11670049.0
2025-09-02 18:15:00,2.8325,2.8366,2.822,2.8285,11898947.3
2025-09-02 18:30:00,2.8284,2.8288,2.8061,2.8085,9667647.6
2025-09-02 18:45:00,2.8086,2.8128,2.7867,2.7911,10595972.3
2025-09-02 19:00:00,2.791,2.8054,2.7899,2.8018,11287604.7
2025-09-02 19:15:00,2.8017,2.8062,2.7822,2.783,11990458.4
2025-09-02 19:30:00,2.7829,2.8003,2.7829,2.7955,9904384.6
2025-09-02 19:45:00,2.7954,2.8001,2.7905,2.796,9322249.6
2025-09-02 20:00:00,2.7961,2.8042,2.7888,2.7893,7884382.6
2025-09-02 20:15:00,2.7891,2.8028,2.7881,2.8019,7858142.4
2025-09-02 20:30:00,2.8018,2.8077,2.7932,2.7969,9034989.2
2025-09-02 20:45:00,2.7969,2.8074,2.7959,2.8059,7398967.2
2025-09-02 21:00:00,2.8059,2.8076,2.7953,2.8045,8217584.2
2025-09-02 21:15:00,2.8045,2.8065,2.7982,2.801,8500091.2
2025-09-02 21:30:00,2.8012,2.8066,2.797,2.8017,8713986.4
2025-09-02 21:45:00,2.8016,2.8217,2.7932,2.8138,13438832.4
2025-09-02 22:00:00,2.8139,2.8235,2.8091,2.8094,10531978.7
2025-09-02 22:15:00,2.8093,2.8142,2.8036,2.8072,9280672.0
2025-09-02 22:30:00,2.8071,2.8162,2.8003,2.815,7401529.0
2025-09-02 22:45:00,2.8148,2.8289,2.813,2.8283,9935523.6
2025-09-02 23:00:00,2.8282,2.8344,2.817,2.8339,10048189.6
2025-09-02 23:15:00,2.8338,2.8512,2.8325,2.85,10356897.7
2025-09-02 23:30:00,2.8502,2.8559,2.8361,2.8479,9288950.8
2025-09-02 23:45:00,2.848,2.8501,2.8385,2.8439,6712788.0
2025-09-03 00:00:00,2.844,2.8498,2.8408,2.8498,4363487.3
2025-09-03 00:15:00,2.8498,2.8498,2.8334,2.8377,2438024.5
2025-09-03 00:30:00,2.8377,2.8447,2.8359,2.8428,1659548.0
2025-09-03 00:45:00,2.8428,2.8467,2.8425,2.8448,284657.2
2025-09-03 01:00:00,2.8454,2.8458,2.8347,2.8434,2361996.2
2025-09-03 01:15:00,2.8435,2.8461,2.8393,2.8443,1190426.1
2025-09-03 01:30:00,2.8441,2.8507,2.8409,2.8492,1579271.2
2025-09-03 01:45:00,2.8496,2.8612,2.8459,2.8607,1811204.6
2025-09-03 02:00:00,2.8606,2.861,2.8523,2.8563,1570675.3
2025-09-03 02:15:00,2.8562,2.863,2.8535,2.8544,1275931.5
